Rank,Candidate_ID,Final_Score,Cosine_Score,Skill_Match,Matched_Skills,Missing_Skills,Extra_Skills,Tier
77,27040860,0.38,0.76,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel, time management",Weak Match
78,28923650,0.37,0.74,0.0,None,"api, django, express, java, node.js, python, ruby, sql","c, machine learning, matlab",Weak Match
79,74236636,0.36,0.72,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel",Weak Match
80,86828820,0.34,0.68,0.0,None,"api, django, express, java, node.js, python, ruby, sql","analytical, communication, etl, project management",Weak Match
81,28628090,0.34,0.68,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel, leadership, problem solving, project management",Weak Match
82,32802563,0.33,0.65,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel",Weak Match
83,28005884,0.32,0.64,0.0,None,"api, django, express, java, node.js, python, ruby, sql",None,Weak Match
84,28320387,0.32,0.65,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, leadership",Weak Match
85,15858254,0.32,0.64,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, linux, networking, time management",Weak Match
86,21807224,0.31,0.62,0.0,None,"api, django, express, java, node.js, python, ruby, sql",aws,Weak Match
87,25425322,0.31,0.62,0.0,None,"api, django, express, java, node.js, python, ruby, sql","leadership, project management",Weak Match
88,81125166,0.3,0.59,0.0,None,"api, django, express, java, node.js, python, ruby, sql","excel, problem solving, project management",Weak Match
89,35651876,0.29,0.59,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, leadership, transformers",Weak Match
90,30288581,0.28,0.56,0.0,None,"api, django, express, java, node.js, python, ruby, sql","excel, matlab, mysql, vba",Weak Match
91,30542184,0.24,0.47,0.0,None,"api, django, express, java, node.js, python, ruby, sql",communication,Weak Match
92,38535335,0.24,0.48,0.0,None,"api, django, express, java, node.js, python, ruby, sql",excel,Weak Match
93,25797445,0.23,0.46,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel, project management",Weak Match
94,35737840,0.22,0.44,0.0,None,"api, django, express, java, node.js, python, ruby, sql",problem solving,Weak Match
95,21629057,0.22,0.44,0.0,None,"api, django, express, java, node.js, python, ruby, sql","go, leadership, time management",Weak Match
96,17488801,0.22,0.45,0.0,None,"api, django, express, java, node.js, python, ruby, sql","analytical, communication, leadership, project management",Weak Match
97,19397727,0.21,0.43,0.0,None,"api, django, express, java, node.js, python, ruby, sql",communication,Weak Match
98,14554542,0.2,0.4,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, leadership",Weak Match
99,28831378,0.2,0.41,0.0,None,"api, django, express, java, node.js, python, ruby, sql",analytical,Weak Match
100,39835894,0.19,0.39,0.0,None,"api, django, express, java, node.js, python, ruby, sql","linux, project management",Weak Match
101,77828437,0.18,0.36,0.0,None,"api, django, express, java, node.js, python, ruby, sql","analytical, excel, matlab, presentation",Weak Match
102,20981299,0.17,0.34,0.0,None,"api, django, express, java, node.js, python, ruby, sql","c, project management, r",Weak Match
103,27756469,0.17,0.33,0.0,None,"api, django, express, java, node.js, python, ruby, sql","analytical, excel, leadership, matlab, problem solving",Weak Match
104,60004873,0.13,0.27,0.0,None,"api, django, express, java, node.js, python, ruby, sql",leadership,Weak Match
105,96029688,0.13,0.25,0.0,None,"api, django, express, java, node.js, python, ruby, sql","data analysis, matlab, oracle, problem solving, project management",Weak Match
106,20882041,0.13,0.27,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel, leadership, project management",Weak Match
107,62071407,0.12,0.24,0.0,None,"api, django, express, java, node.js, python, ruby, sql","collaboration, project management, time management",Weak Match
108,17108676,0.12,0.25,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, excel, leadership, project management, time management",Weak Match
109,15941675,0.1,0.2,0.0,None,"api, django, express, java, node.js, python, ruby, sql","analytical, communication, data analysis, presentation, time management",Weak Match
110,17103000,0.08,0.17,0.0,None,"api, django, express, java, node.js, python, ruby, sql","communication, leadership, project management",Weak Match
111,36149549,0.07,0.14,0.0,None,"api, django, express, java, node.js, python, ruby, sql","c, communication, excel",Weak Match
112,43752620,0.06,0.13,0.0,None,"api, django, express, java, node.js, python, ruby, sql","c, matlab, rest, spark",Weak Match
113,28631840,0.06,0.12,0.0,None,"api, django, express, java, node.js, python, ruby, sql","leadership, project management",Weak Match
114,19124258,0.05,0.09,0.0,None,"api, django, express, java, node.js, python, ruby, sql",excel,Weak Match
115,10985403,0.04,0.08,0.0,None,"api, django, express, java, node.js, python, ruby, sql",machine learning,Weak Match
116,21298336,0.0,0.0,0.0,None,"api, django, express, java, node.js, python, ruby, sql","excel, leadership",Weak Match
117,12748557,0.0,0.0,0.0,None,"api, django, express, java, node.js, python, ruby, sql","c, collaboration, leadership, project management, react",Weak Match
118,35172961,0.0,0.0,0.0,None,"api, django, express, java, node.js, python, ruby, sql",c,Weak Match
